No,NIM,SISDIG,JARKOM,ARKOM,APSI,MANPRO,SCM,PBO,RPL,SPEM STI,PER PEM STI,KURPEM,KBK
1,1803689,3.4,3.7,3.7,3,3,3.7,2.7,3.4,3.4,4,3.4,Vokasi Informatika
2,1803718,3.7,3.7,4,3.7,4,3.7,4,3.4,4,4,4,Hybrid Interaktif E-Commerce
3,1803846,4,4,4,3.7,4,3.7,4,4,4,4,4,Teknik Informatika
4,1803986,3.4,3.4,4,3.4,3,3.7,3.7,3.7,3,3.4,3,Hybrid Multimedia dan Bisnis
5,1804091,2.7,3.4,3.4,2.7,3.7,3.7,2.7,3.7,3.4,4,3.7,Hybrid Multimedia dan Bisnis
6,1804188,4,3.7,4,3,3.4,3.4,3.7,4,3.4,3.4,3,Teknik Informatika
7,1804456,3.7,3.4,3.7,3.7,3.4,3.4,3.7,3.7,3,3.4,3.7,Hybrid Interactive E-Commerce
8,1804494,3,3.7,3.7,2.7,3,3.4,4,2.4,3,2.7,3.4,Sistem Informasi Bisnis
9,1804618,3.7,3.4,3.7,4,3.4,3.7,4,3.4,4,3.7,3.4,Sistem Informasi Bisnis
10,1804708,4,3.7,3.7,3,3,3.7,3.7,3.7,3.4,4,3.4,Hybrid Multimedia dan Bisnis
11,1804882,4,3.7,4,3.4,3,3.7,3.7,3.7,3.7,4,4,Hybrid Smart Classroom
12,1804931,3,3.4,3.4,2.7,3,3.7,3.7,3.4,3.4,3.7,3.4,Sistem Informasi Bisnis
13,1804975,3.7,3.7,4,3.7,3,4,3.7,3.7,4,4,4,Teknik Informatika
14,1804989,3.7,4,4,2.7,3,3.7,3.7,3.4,4,4,4,Hybrid Edupreneur
15,1805015,3.7,3.4,3.7,3.4,3,3.7,3.4,3.7,3.4,3.7,3,Hybrid Smart Classroom
16,1805070,3.7,3.7,3.7,3.4,2.7,3.7,3.4,3.4,3.4,4,3,Hybrid Multimedia dan Bisnis
17,1805125,4,3.4,4,3.7,4,3.7,4,3.4,3.4,3.7,3.4,Hybrid Interaktif E-Commerce
18,1805148,4,3.4,4,2.7,3,3.7,3.4,3.4,3.4,3.4,3.4,Teknik Informatika
19,1805181,4,4,3.7,3.4,3.4,3.7,4,4,3.7,4,3.7,Teknik Informatika
20,1805260,3.7,3.4,3.7,3,3.4,4,4,3.4,4,3.7,3.7,Sistem Informasi Bisnis
21,1805262,3.7,4,4,3,3,4,4,4,4,4,4,Hybrid Multimedia dan Bisnis
22,1805386,4,4,4,3.7,4,4,4,4,3.7,4,4,Teknik Informatika
23,1805591,4,3,4,2.4,2.4,3.7,2.7,3,3,4,3,Hybrid Multimedia dan Bisnis
24,1805625,3.7,4,4,3,3.4,3.7,4,3.7,3.7,3.7,3.4,Sistem Informasi Bisnis
25,1805719,3,3.4,3.7,3.4,3,4,3.7,3.4,3.7,3.7,4,Sistem Informasi Bisnis
26,1805720,4,4,4,3.7,4,4,4,3.4,4,4,4,Teknik Informatika
27,1805957,3.7,3.4,3.4,3,3,4,3.4,3.4,3.7,3.7,3,Hybrid Multimedia dan Bisnis
28,1806186,3.7,3.4,3.7,3.4,2.4,3.7,3.7,3.4,3.4,3.7,3.4,Teknik Informatika
29,1806210,3.7,3.4,4,4,4,4,4,4,4,4,4,Hybrid Multimedia dan Bisnis
30,1806212,3.7,4,4,2.7,3.7,3.7,3.7,3.7,3.4,4,4,
31,1806242,3.7,3.4,4,3,4,3.7,4,4,4,4,4,Hybrid Smart Classroom
32,1806394,4,3,3,3.4,2.7,4,2.7,3,3,3,2.7,Sistem Informasi Bisnis
33,1806433,3.7,3.4,3.7,3,2.7,3.7,3.7,3.7,3.7,3.4,3.4,Sistem Informasi Bisnis
34,1806577,3,3,3.7,2.7,3.4,3.7,3.7,3,3,3.7,3,Sistem Informasi Bisnis
35,1806769,2.7,3,3.7,3.4,3,3.7,3.4,3.4,3.4,3.4,3.4,Sistem Informasi Bisnis
36,1806812,3.4,3,3.4,2.7,3,4,2.7,3.4,3.4,3.7,3,Hybrid Multimedia dan Bisnis
37,1806856,3.4,3,3.7,2.7,3,3.7,3.7,3.4,3.4,4,3.4,Hybrid Multimedia dan Bisnis
38,1806881,3,3,2,3,2.7,3.7,3.7,2,3,3.7,3,Hybrid Interaktif E-Commerce
39,1806924,3.4,3,3.7,2.7,3,4,3.7,3.4,3.4,3.7,3.7,Sistem Informasi Bisnis
40,1807110,2.7,3,3.7,3,3,4,3.4,2.7,3,3.4,3,Sistem Informasi Bisnis
41,1807134,3,3.4,3.7,3,3,3.7,3.7,3.4,3.4,3.7,3.4,Teknik Informatika
42,1807645,3.4,2,3.7,3,3,2.7,2.4,3.7,3,3,2.7,Sistem Informasi Bisnis
43,1807698,4,3.4,3.7,4,4,4,3.7,3.7,4,4,4,Hybrid Multimedia dan Bisnis
44,1807826,3,3,3.7,3.4,3.4,3.7,4,3.4,3,4,3.4,Sistem Informasi Bisnis
45,1807956,4,3,4,3,3.4,4,3.7,3.4,3.7,4,3.4,Sistem Informasi Bisnis
46,1808003,4,3.7,3.7,3,3,3.7,3.7,3.4,3.4,3.7,3.4,Sistem Informasi Bisnis
47,1808053,3,4,3,3.4,3.7,3,2.4,2,3.4,3.7,3,Hybrid Multimedia dan Bisnis
48,1808060,2.4,3.4,3.7,2.7,3,3.7,3.7,3.4,3.4,3.7,3.4,Sistem Informasi Bisnis
49,1808376,3.4,3.7,3.7,2.7,3.7,4,3.7,3.4,3.4,3.4,3,Hybrid Multimedia dan Bisnis
50,1808474,3.7,3.4,3.4,2.4,3.4,4,4,3.4,3.4,3.7,3.4,Sistem Informasi Bisnis
51,1900241,3.7,3.4,4,3,3.7,3.7,3.4,3.7,3.7,3.4,4,Teknik Informatika
52,1900461,3.7,3.4,4,3.4,3.7,3.7,3.7,3.7,4,3.7,4,Sistem Informasi Bisnis
53,1900621,3.7,3,3,3.4,3.7,3.7,3.4,4,4,2.7,3.7,Vokasi Informatika
54,1900666,3.7,2.4,3,3.7,3.7,3.4,3.4,3.7,3.4,3.4,3.4,Teknik Informatika
56,1901663,3.7,3.4,3,3.7,4,3,3.4,4,3.7,4,4,Vokasi Informatika
57,1901719,3.7,2.7,3,3,3.7,4,3.7,3.7,3.7,3.7,3.7,teknik Informatika
58,1901857,3.7,3,3.4,3.4,3.7,3.7,3.4,3.7,3.7,3.7,4,Teknik Informatika
